"","movies","genres"
"36326","Legend of Bagger Vance, The (2000)","Drama|Romance"
"36333","Little Nicky (2000)","Comedy"
"36342","Men of Honor (2000)","Drama"
"36350","Red Planet (2000)","Action|Sci-Fi|Thriller"
"36360","What's Cooking? (2000)","Drama"
"36361","You Can Count on Me (2000)","Drama|Romance"
"36366","Diamonds Are Forever (1971)","Action|Adventure|Thriller"
"36375","Eagle Has Landed, The (1976)","Drama|War"
"36376","6th Day, The (2000)","Action|Sci-Fi|Thriller"
"36389","Bounce (2000)","Drama|Romance"
"36394","How the Grinch Stole Christmas (a.k.a. The Grinch) (2000)","Children|Comedy|Fantasy"
"36407","One Day in September (1999)","Documentary"
"36410","Rugrats in Paris: The Movie (2000)","Animation|Children|Comedy"
"36411","102 Dalmatians (2000)","Children|Comedy"
"36416","Malèna (2000)","Drama|Romance|War"
"36419","Quills (2000)","Drama|Romance"
"36427","Unbreakable (2000)","Drama|Sci-Fi"
"36456","Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)","Action|Drama|Romance"
"36518","Dungeons & Dragons (2000)","Adventure|Fantasy"
"36523","Proof of Life (2000)","Drama"
"36526","Vertical Limit (2000)","Action|Adventure"
"36537","Bounty, The (1984)","Adventure|Drama"
"36538","Code of Silence (1985)","Action"
"36539","Planes, Trains & Automobiles (1987)","Comedy"
"36559","She's Having a Baby (1988)","Comedy"
"36564","Living Daylights, The (1987)","Action|Adventure|Thriller"
"36569","Transformers: The Movie (1986)","Adventure|Animation|Children|Sci-Fi"
"36578","Wall Street (1987)","Drama"
"36588","Born on the Fourth of July (1989)","Drama|War"
"36599","Talk Radio (1988)","Drama"
"36601","Brewster's Millions (1985)","Comedy"
"36606","Snatch (2000)","Comedy|Crime|Thriller"
"36655","Punchline (1988)","Comedy|Drama"
"36657","Chocolat (2000)","Drama|Romance"
"36684","Dude, Where's My Car? (2000)","Comedy|Sci-Fi"
"36695","Emperor's New Groove, The (2000)","Adventure|Animation|Children|Comedy|Fantasy"
"36712","Pollock (2000)","Drama"
"36714","What Women Want (2000)","Comedy|Romance"
"36742","Finding Forrester (2000)","Drama"
"36755","Gift, The (2000)","Thriller"
"36763","Before Night Falls (2000)","Drama"
"36764","Cast Away (2000)","Drama"
"36813","Family Man, The (2000)","Comedy|Drama|Romance"
"36828","House of Mirth, The (2000)","Romance"
"36829","Miss Congeniality (2000)","Comedy|Crime"
"36858","O Brother, Where Art Thou? (2000)","Adventure|Comedy|Crime"
"36913","Songcatcher (2000)","Drama"
"36914","State and Main (2000)","Comedy|Drama"
"36920","Dracula 2000 (2000)","Horror"
"36927","All the Pretty Horses (2000)","Drama|Romance|Western"
"36931","Everlasting Piece, An (2000)","Comedy"
"36932","Thirteen Days (2000)","Drama|Thriller|War"
"36941","Traffic (2000)","Crime|Drama|Thriller"
"36981","Claim, The (2000)","Romance|Western"
"36984","Shadow of the Vampire (2000)","Drama|Horror"
"36989","House of Games (1987)","Crime|Film-Noir|Mystery|Thriller"
"36994","Kill Me Again (1989)","Crime|Drama|Thriller"
"36995","Annie (1982)","Children|Musical"
"37000","Don't Tell Mom the Babysitter's Dead (1991)","Comedy"
"37005","Officer and a Gentleman, An (1982)","Drama|Romance"
"37013","At Close Range (1986)","Crime|Drama"
"37016","Breaker! Breaker! (1977)","Action|Adventure|Crime"
"37017","Friendly Persuasion (1956)","Drama"
"37019","Gettysburg (1993)","Drama|War"
"37024","Antitrust (2001)","Crime|Drama|Thriller"
"37031","Double Take (2001)","Action|Comedy"
"37033","Save the Last Dance (2001)","Drama|Romance"
"37041","Panic (2000)","Drama"
"37044","Pledge, The (2001)","Crime|Drama|Mystery|Thriller"
"37045","Personals, The (Zheng hun qi shi) (1998)","Drama"
"37046","Man in the Moon, The (1991)","Drama|Romance"
"37051","Mystic Pizza (1988)","Comedy|Drama|Romance"
"37057","Prelude to a Kiss (1992)","Comedy|Drama|Romance"
"37059","I'm Gonna Git You Sucka (1988)","Action|Comedy"
"37064","Untamed Heart (1993)","Drama|Romance"
"37065","Wedding Planner, The (2001)","Comedy|Romance"
"37076","Invisible Circus, The (2001)","Drama|Romance"
"37077","Legend of Rita, The (Stille nach dem Schuß, Die) (1999)","Drama"
"37078","With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000)","Drama|Thriller"
"37081","Amazing Grace and Chuck (1987)","Drama"
"37082","Back to the Beach (1987)","Comedy"
"37084","Barfly (1987)","Comedy|Drama|Romance"
"37085","Best Seller (1987)","Thriller"
"37086","Beverly Hills Cop II (1987)","Action|Comedy|Crime|Thriller"
"37095","Beverly Hills Cop (1984)","Action|Comedy|Crime|Drama"
"37113","Big Easy, The (1987)","Action|Crime|Mystery|Romance|Thriller"
"37118","Born in East L.A. (1987)","Comedy"
"37121","Brave Little Toaster, The (1987)","Animation|Children"
"37127","Can't Buy Me Love (1987)","Comedy|Romance"
"37132","Cherry 2000 (1987)","Romance|Sci-Fi"
"37134","Cop (1988)","Thriller"
"37135","Dead, The (1987)","Drama"
"37137","Disorderlies (1987)","Comedy"
"37140","Eddie Murphy Raw (1987)","Comedy|Documentary"
"37144","Empire of the Sun (1987)","Action|Adventure|Drama|War"
"37151","Ernest Goes to Camp (1987)","Comedy"
"37154","Evil Dead, The (1981)","Fantasy|Horror|Thriller"
"37167","Flowers in the Attic (1987)","Drama|Thriller"
"37168","Hope and Glory (1987)","Drama"
"37170","Hot Pursuit (1987)","Comedy"
"37171","Innerspace (1987)","Action|Adventure|Comedy|Sci-Fi"
"37178","Ironweed (1987)","Drama"
"37179","Ishtar (1987)","Comedy"
"37181","Jaws: The Revenge (1987)","Horror|Thriller"
"37184","Leonard Part 6 (1987)","Comedy|Sci-Fi"
"37185","Less Than Zero (1987)","Drama"
"37186","Lost Boys, The (1987)","Comedy|Horror|Thriller"
"37202","Made in Heaven (1987)","Fantasy|Romance"
"37203","Maid to Order (1987)","Comedy|Fantasy"
"37205","Making Mr. Right (1987)","Comedy|Romance|Sci-Fi"
"37207","Mannequin (1987)","Comedy|Romance"
"37214","Masters of the Universe (1987)","Action|Adventure|Fantasy|Sci-Fi"
"37220","Month in the Country, A (1987)","Drama"
"37221","My Demon Lover (1987)","Comedy|Horror"
"37222","No Man's Land (1987)","Crime|Drama"
"37223","Head Over Heels (2001)","Comedy|Romance"
"37225","Valentine (2001)","Horror|Mystery"
"37226","In the Mood For Love (Fa yeung nin wa) (2000)","Drama|Romance"
"37231","Hannibal (2001)","Horror|Thriller"
"37252","Saving Silverman (Evil Woman) (2001)","Comedy|Romance"
"37257","Vatel (2000)","Drama"
"37258","Down to Earth (2001)","Comedy|Fantasy|Romance"
"37264","Recess: School's Out (2001)","Animation|Children"
"37265","Sweet November (2001)","Drama|Romance"
"37269","Company Man (2000)","Comedy"
"37270","Price of Milk, The (2000)","Comedy|Drama|Fantasy|Romance"
"37271","Monkeybone (2001)","Animation|Comedy|Fantasy"
"37274","3000 Miles to Graceland (2001)","Action|Thriller"
"37281","Widow of St. Pierre, The (Veuve de Saint-Pierre, La) (2000)","Drama|Romance"
"37283","Mexican, The (2001)","Action|Comedy"
"37292","See Spot Run (2001)","Comedy"
"37295","Series 7: The Contenders (2001)","Action|Drama"
"37297","15 Minutes (2001)","Thriller"
"37302","Get Over It (2001)","Comedy|Romance"
"37303","Avalon (1990)","Drama"
"37306","Madadayo (a.k.a. Not Yet) (1993)","Drama"
"37307","Mirror Crack'd, The (1980)","Crime|Mystery|Thriller"
"37308","Of Mice and Men (1939)","Drama"
"37309","Pixote (1981)","Drama"
"37310","Tuff Turf (1985)","Drama"
"37311","Bishop's Wife, The (1947)","Comedy|Drama|Romance"
"37312","Fortune Cookie, The (1966)","Comedy|Drama|Romance"
"37313","Lilies of the Field (1963)","Drama"
"37316","Hans Christian Andersen (1952)","Children|Musical"
"37317","Greatest Story Ever Told, The (1965)","Drama"
"37318","Elmer Gantry (1960)","Drama"
"37319","Alfie (1966)","Comedy|Drama|Romance"
"37320","Abominable Dr. Phibes, The (1971)","Horror|Mystery"
"37321","Real Life (1979)","Comedy"
"37322","Battle Beyond the Stars (1980)","Sci-Fi"
"37323","Double Impact (1991)","Action"
"37326","Harley Davidson and the Marlboro Man (1991)","Action|Crime|Drama"
"37330","Mermaids (1990)","Comedy|Drama|Romance"
"37331","Mighty Quinn, The (1989)","Crime|Mystery"
"37332","Navy Seals (1990)","Action|Adventure|War"
"37335","Rated X (2000)","Drama"
"37337","Manhunter (1986)","Action|Crime|Drama|Horror|Thriller"
"37339","Reversal of Fortune (1990)","Drama"
"37342","Death on the Nile (1978)","Crime|Mystery"
"37343","Deepstar Six (1989)","Horror|Sci-Fi|Thriller"
"37345","Revenge of the Nerds (1984)","Comedy"
"37353","Revenge of the Nerds II: Nerds in Paradise (1987)","Comedy"
"37358","4 Little Girls (1997)","Documentary"
"37360","River's Edge (1986)","Crime|Drama"
"37362","Longest Yard, The (1974)","Comedy"
"37365","Necessary Roughness (1991)","Comedy"
"37367","Enemy at the Gates (2001)","Drama|War"
"37383","Exit Wounds (2001)","Action|Thriller"
"37387","Dish, The (2001)","Comedy"
"37390","Memento (2000)","Mystery|Thriller"
"37475","Heartbreakers (2001)","Comedy|Crime|Romance"
"37480","Say It Isn't So (2001)","Comedy|Romance"
"37481","Someone Like You (2001)","Comedy|Romance"
"37485","Spy Kids (2001)","Action|Adventure|Children|Comedy"
"37495","Tomcats (2001)","Comedy"
"37498","Tailor of Panama, The (2001)","Drama|Thriller"
"37501","Amores Perros (Love's a Bitch) (2000)","Drama|Thriller"
"37519","Gleaners & I, The (Les glaneurs et la glaneuse) (2000)","Documentary"
"37521","Along Came a Spider (2001)","Action|Crime|Mystery|Thriller"
"37530","Blow (2001)","Crime|Drama"
"37547","Just Visiting (2001)","Comedy|Fantasy"
"37549","Pokémon 3: The Movie (2001)","Animation|Children"
"37550","Bridget Jones's Diary (2001)","Comedy|Drama|Romance"
"37579","Joe Dirt (2001)","Adventure|Comedy|Mystery|Romance"
"37585","Josie and the Pussycats (2001)","Comedy"
"37590","Body, The (2001)","Drama|Sci-Fi"
"37591","Chopper (2000)","Drama|Thriller"
"37596","Crocodile Dundee in Los Angeles (2001)","Comedy|Drama"
"37598","Freddy Got Fingered (2001)","Comedy"
"37601","Scarface (1983)","Action|Crime|Drama"
"37624","Days of Wine and Roses (1962)","Drama"
"37626","Driven (2001)","Action|Thriller"
"37630","Forsaken, The (2001)","Horror"
"37631","One Night at McCool's (2001)","Comedy"
"37633","Town & Country (2001)","Comedy"
"37634","Mummy Returns, The (2001)","Action|Adventure|Comedy|Thriller"
"37662","Under the Sand (2000)","Drama"
"37664","Cleopatra (1963)","Drama|Romance"
"37665","Krull (1983)","Action|Adventure|Fantasy|Sci-Fi"
"37667","Lost in America (1985)","Comedy"
"37669","Lost World, The (1925)","Adventure|Sci-Fi"
"37671","Triumph of the Will (Triumph des Willens) (1934)","Documentary"
"37674","True Believer (1989)","Crime"
"37675","World According to Garp, The (1982)","Comedy|Drama|Romance"
"37680","Frankie and Johnny (1991)","Comedy|Romance"
"37683","Home of Our Own, A (1993)","Drama"
"37684","For the Boys (1991)","Comedy|Drama|Musical"
"37685","Nine to Five (a.k.a. 9 to 5) (1980)","Comedy|Crime"
"37690","Norma Rae (1979)","Drama"
"37691","Summer Rental (1985)","Comedy"
"37692","5,000 Fingers of Dr. T, The (1953)","Children|Fantasy|Musical"
"37693","Backtrack (Catchfire) (1990)","Action|Drama|Thriller"
"37694","Love Story (1970)","Drama|Romance"
"37695","Pelle the Conqueror (Pelle erobreren) (1987)","Drama"
"37696","Rififi (Du rififi chez les hommes) (1955)","Crime|Film-Noir|Thriller"
"37698","Knight's Tale, A (2001)","Action|Comedy|Romance"
"37715","Calle 54 (2000)","Documentary|Musical"
"37716","Startup.com (2001)","Documentary"
"37718","Angel Eyes (2001)","Romance|Thriller"
"37722","Shrek (2001)","Adventure|Animation|Children|Comedy|Fantasy|Romance"
"37809","Moulin Rouge (2001)","Drama|Musical|Romance"
"37838","Pearl Harbor (2001)","Action|Drama|Romance|War"
"37858","Himalaya (Himalaya - l'enfance d'un chef) (1999)","Adventure|Drama"
"37859","Man Who Cried, The (2000)","Drama"
"37860","Love Potion #9 (1992)","Comedy|Romance"
"37864","Postcards From the Edge (1990)","Comedy|Drama"
"37865","City Slickers (1991)","Comedy|Western"
"37886","Eight Men Out (1988)","Drama"
"37888","Kentuckian, The (1955)","Drama|Western"
"37889","Mississippi Burning (1988)","Crime|Drama|Thriller"
"37893","Magnificent Seven, The (1960)","Adventure|Western"
"37899","Return of the Magnificent Seven, The (a.k.a. Return of the Seven) (1966)","Western"
"37900","Rio Bravo (1959)","Western"
"37902","Suspect (1987)","Crime|Drama|Thriller"
"37903","Throw Momma from the Train (1987)","Comedy|Crime"
"37909","Midnight Madness (1980)","Comedy"
"37910","Nightwatch (Nattevagten) (1994)","Horror|Thriller"
"37911","Sand Pebbles, The (1966)","Drama|Romance|War"
"37912","Von Ryan's Express (1965)","Action|Adventure|Drama|War"
"37916","Animal, The (2001)","Comedy"
"37924","What's the Worst That Could Happen? (2001)","Comedy"
"37926","Evolution (2001)","Comedy|Sci-Fi"
"37940","Swordfish (2001)","Action|Crime|Drama"
"37959","Anniversary Party, The (2001)","Drama"
"37960","Divided We Fall (Musíme si pomáhat) (2000)","Comedy|Drama"
"37961","Catch-22 (1970)","Comedy|War"
"37966","Point Break (1991)","Action|Crime|Thriller"
"37980","Uncommon Valor (1983)","Action|War"
"37981","Unlawful Entry (1992)","Crime|Thriller"
"37985","Youngblood (1986)","Action|Drama"
"37986","Gentlemen Prefer Blondes (1953)","Comedy|Musical|Romance"
"37989","How to Marry a Millionaire (1953)","Comedy|Drama|Romance"
"37990","Seven Year Itch, The (1955)","Comedy"
"37992","Tootsie (1982)","Comedy|Romance"
"38010","Atlantis: The Lost Empire (2001)","Adventure|Animation|Children|Fantasy"
"38016","Lara Croft: Tomb Raider (2001)","Action|Adventure"
"38036","Dr. Dolittle 2 (2001)","Comedy"
"38041","Fast and the Furious, The (2001)","Action|Crime|Thriller"
"38055","A.I. Artificial Intelligence (2001)","Adventure|Drama|Sci-Fi"
"38081","Baby Boy (2001)","Crime|Drama"
"38082","Crazy/Beautiful (2001)","Drama|Romance"
"38083","Sexy Beast (2000)","Comedy|Crime|Drama"
"38089","Princess and the Warrior, The (Krieger und die Kaiserin, Der) (2000)","Drama|Romance"
"38092","Closet, The (Placard, Le) (2001)","Comedy"
"38094","Crimson Rivers, The (Rivières pourpres, Les) (2000)","Crime|Drama|Mystery|Thriller"
"38097","Cats & Dogs (2001)","Children|Comedy"
"38106","Kiss of the Dragon (2001)","Action"
"38110","Scary Movie 2 (2001)","Comedy"
"38123","Beach Blanket Bingo (1965)","Comedy|Musical"
"38124","Cannonball Run, The (1981)","Action|Comedy"
"38125","Donovan's Reef (1963)","Action|Comedy|Romance"
"38126","Fall of the House of Usher, The (House of Usher) (1960)","Horror"
"38127","Man Who Shot Liberty Valance, The (1962)","Crime|Drama|Western"
"38132","Salvador (1986)","Drama|Thriller|War"
"38133","September (1987)","Drama"
"38134","Something Wild (1986)","Comedy|Crime|Drama"
"38138","Entertainer, The (1960)","Drama"
"38139","Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il) (1970)","Drama"
"38146","Howling III: The Marsupials (1987)","Comedy|Horror"
"38147","Lion in Winter, The (1968)","Drama"
"38149","Misfits, The (1961)","Comedy|Drama|Romance|Western"
"38150","Moby Dick (1956)","Drama"
"38151","Colonel Redl (Oberst Redl) (1985)","Drama"
"38152","Obsession (1976)","Mystery|Thriller"
"38153","Big Boss, The (Fists of Fury) (Tang shan da xiong) (1971)","Action|Thriller"
"38154","Outland (1981)","Action|Sci-Fi|Thriller"
"38156","Final Fantasy: The Spirits Within (2001)","Adventure|Animation|Fantasy|Sci-Fi"
"38169","Legally Blonde (2001)","Comedy|Romance"
"38189","Score, The (2001)","Action|Drama"
"38202","Bully (2001)","Crime|Drama|Thriller"
"38204","Made (2001)","Comedy"
"38206","18 Again! (1988)","Comedy|Fantasy"
"38208","Accidental Tourist, The (1988)","Comedy|Drama|Romance"
"38211","Accused, The (1988)","Drama"
"38214","Above the Law (1988)","Action|Crime|Drama"
"38215","Adventures of Baron Munchausen, The (1988)","Adventure|Comedy|Fantasy"
"38225","Appointment with Death (1988)","Crime|Mystery"
"38226","Arthur 2: On the Rocks (1988)","Comedy|Romance"
"38228","Bat*21 (1988)","Drama|War"
"38231","Beaches (1988)","Comedy|Drama|Musical"
"38232","Beast of War, The (Beast, The) (1988)","Drama|War"
"38233","Big Business (1988)","Comedy"
"38234","Big Top Pee-Wee (1988)","Adventure|Children|Comedy"
"38236","Biloxi Blues (1988)","Comedy|Drama"
"38239","Bird (1988)","Drama|Musical"
"38240","Blob, The (1988)","Horror|Sci-Fi"
"38243","Caddyshack II (1988)","Comedy"
"38246","Clean and Sober (1988)","Drama"
"38248","Cocktail (1988)","Drama|Romance"
"38251","Colors (1988)","Action|Crime|Drama"
"38252","Coming to America (1988)","Comedy|Romance"
"38260","Couch Trip, The (1988)","Comedy"
"38261","Criminal Law (1988)","Thriller"
"38262","Critters (1986)","Comedy|Sci-Fi"
"38264","Crossing Delancey (1988)","Comedy|Romance"
"38266","D.O.A. (1988)","Film-Noir|Mystery|Thriller"
"38268","Dead Heat (1988)","Action|Comedy|Horror|Sci-Fi"
"38269","Dead Pool, The (1988)","Action|Crime|Thriller"
"38272","Dirty Rotten Scoundrels (1988)","Comedy"
"38279","Ernest Saves Christmas (1988)","Children|Comedy"
"38281","Everybody's All-American (1988)","Romance"
"38283","Feds (1988)","Comedy"
"38286","For Keeps (1988)","Drama|Romance"
"38287","Frantic (1988)","Crime|Mystery|Thriller"
"38288","Fresh Horses (1988)","Drama"
"38289","Gorillas in the Mist (1988)","Drama"
"38290","Great Outdoors, The (1988)","Comedy"
"38293","High Spirits (1988)","Comedy"
"38294","Hot to Trot (1988)","Comedy"
"38295","House on Carroll Street, The (1988)","Thriller"
"38296","Johnny Be Good (1988)","Comedy"
"38297","Lady in White (a.k.a. The Mystery of the Lady in White) (1988)","Horror|Mystery|Thriller"
"38298","Land Before Time, The (1988)","Adventure|Animation|Children|Fantasy"
"38305","License to Drive (1988)","Comedy"
"38307","Little Nikita (1988)","Drama"
"38308","Masquerade (1988)","Mystery|Romance|Thriller"
"38309","Moon Over Parador (1988)","Comedy"
"38310","My Stepmother Is an Alien (1988)","Comedy|Romance|Sci-Fi"
"38312","Off Limits (1988)","Action|Thriller|War"
"38313","Bagdad Cafe (Out of Rosenheim) (1987)","Comedy|Drama"
"38315","Permanent Record (1988)","Drama"
"38316","Red Heat (1988)","Action"
"38318","Return of the Living Dead, The (1985)","Comedy|Horror|Sci-Fi"
"38322","Return to Snowy River (a.k.a. The Man From Snowy River II) (1988)","Adventure|Drama|Western"
"38324","Man from Snowy River, The (1982)","Drama|Romance|Western"
"38328","Running on Empty (1988)","Drama"
"38329","Serpent and the Rainbow, The (1988)","Horror"
"38330","Shoot to Kill (1988)","Action|Adventure"
"38332","Short Circuit 2 (1988)","Comedy|Sci-Fi"
"38336","Short Circuit (1986)","Comedy|Sci-Fi"
"38342","Vanishing, The (Spoorloos) (1988)","Drama|Thriller"
"38343","Sweet Hearts Dance (1988)","Drama"
"38344","Switching Channels (1988)","Comedy"
"38345","Telephone, The (1988)","Comedy"
"38346","They Live (1988)","Action|Sci-Fi|Thriller"
"38347","To Kill a Priest (1988)","Drama"
"38348","Tucker: The Man and His Dream (1988)","Drama"
"38349","Twins (1988)","Comedy"
"38353","Vice Versa (1988)","Comedy"
"38354","Watchers (1988)","Horror|Sci-Fi"
"38355","Waxwork (1988)","Comedy|Horror"
"38356","Without a Clue (1988)","Comedy|Mystery"
"38357","Young Einstein (1988)","Comedy"
"38359","Always (1989)","Drama|Fantasy|Romance"
"38361","American Ninja (1985)","Action|Adventure"
"38362","Best of the Best (1989)","Action"
"38363","Best of the Best 2 (1993)","Action"
"38364","Big Picture, The (1989)","Comedy|Drama"
"38365","Bill & Ted's Excellent Adventure (1989)","Adventure|Comedy|Sci-Fi"
"38385","Black Rain (1989)","Action|Crime|Drama"
"38388","Blaze (1989)","Comedy|Drama"
"38389","Blind Fury (1989)","Action|Thriller"
"38391","Casualties of War (1989)","Drama|War"
"38393","Chances Are (1989)","Comedy|Romance"
"38394","Dad (1989)","Drama"
"38395","Dead Bang (1989)","Thriller"
"38396","Disorganized Crime (1989)","Action|Comedy"
"38397","Dream a Little Dream (1989)","Comedy|Drama|Romance"
"38398","Dream Team, The (1989)","Comedy"
"38399","Earth Girls Are Easy (1988)","Comedy|Musical|Sci-Fi"
"38403","Eddie and the Cruisers II: Eddie Lives! (1989)","Drama|Musical"
"38404","Eddie and the Cruisers (1983)","Drama|Musical|Mystery"
"38407","Erik the Viking (1989)","Adventure|Comedy|Fantasy"
"38408","Experts, The (1989)","Comedy"
"38409","Family Business (1989)","Comedy"
"38410","Farewell to the King (1989)","Action|War"
"38411","Fat Man and Little Boy (1989)","Drama"
"38412","Gleaming the Cube (1989)","Action|Drama|Mystery"
"38413","Great Balls of Fire! (1989)","Drama"
"38414","Gross Anatomy (a.k.a. A Cut Above) (1989)","Comedy|Drama"
"38415","Her Alibi (1989)","Comedy|Romance"
"38416","Immediate Family (1989)","Drama"
"38417","Innocent Man, An (1989)","Crime|Drama"
"38418","January Man, The (1989)","Comedy|Crime|Mystery|Thriller"
"38419","Jesus of Montreal (Jésus de Montréal) (1989)","Drama"
"38421","Kickboxer (1989)","Action"
"38422","Lean on Me (1989)","Drama"
"38425","Let It Ride (1989)","Comedy"
"38426","Leviathan (1989)","Horror|Sci-Fi|Thriller"
"38427","Little Monsters (1989)","Comedy"
"38428","Lock Up (1989)","Action|Adventure|Crime|Drama|Thriller"
"38430","Look Who's Talking (1989)","Comedy|Romance"
"38437","Loverboy (1989)","Comedy"
"38439","Major League (1989)","Comedy"
"38446","Meet the Feebles (1989)","Animation|Comedy|Musical"
"38447","Millennium (1989)","Drama|Sci-Fi|Thriller"
"38448","Miracle Mile (1989)","Drama|Romance|Sci-Fi"
"38449","Miss Firecracker (1989)","Comedy"
"38450","New York Stories (1989)","Comedy|Drama"
"38455","Next of Kin (1989)","Action|Crime|Thriller"
"38457","Old Gringo (1989)","Drama"
"38458","Package, The (1989)","Action|Thriller"
"38459","Parents (1989)","Comedy|Drama|Horror"
"38460","Pink Cadillac (1989)","Action|Comedy|Drama"
"38461","Punisher, The (1989)","Action"
"38463","Jurassic Park III (2001)","Action|Adventure|Sci-Fi|Thriller"
"38477","America's Sweethearts (2001)","Comedy|Romance"
"38487","Ghost World (2001)","Comedy|Drama"
"38499","Hedwig and the Angry Inch (2000)","Comedy|Drama|Musical"
"38505","Planet of the Apes (2001)","Action|Adventure|Drama|Sci-Fi"
"38528","Bread and Tulips (Pane e tulipani) (2000)","Comedy|Drama|Romance"
"38529","Cure (1997)","Crime|Horror|Thriller"
"38530","Greenfingers (2000)","Comedy|Drama"
"38532","Monkey's Mask, The (2000)","Crime|Mystery"
"38533","Relentless (1989)","Thriller"
"38534","Renegades (1989)","Action"
"38535","Return of the Musketeers, The (1989)","Adventure|Comedy"
"38536","Road House (1989)","Action|Drama"
"38539","Rude Awakening (1989)","Comedy"
"38540","Sea of Love (1989)","Crime|Drama|Thriller"
"38543","See No Evil, Hear No Evil (1989)","Comedy|Crime"
"38544","She's Out of Control (1989)","Comedy"
"38545","Shirley Valentine (1989)","Comedy|Romance"
"38546","Shocker (1989)","Horror"
"38547","Skin Deep (1989)","Comedy"
"38548","Stepfather, The (1987)","Horror|Thriller"
"38549","Tall Guy, The (1989)","Comedy|Romance"
"38551","Tango & Cash (1989)","Action|Comedy|Crime|Thriller"
"38556","Tap (1989)","Drama"
"38557","Troop Beverly Hills (1989)","Comedy"
"38559","Turner & Hooch (1989)","Comedy|Crime"
"38562","UHF (1989)","Comedy"
"38566","Uncle Buck (1989)","Comedy"
"38572","Vampire's Kiss (1989)","Comedy|Fantasy|Horror"
"38573","War of the Roses, The (1989)","Comedy|Drama"
"38575","Warlock (1989)","Action|Horror"
"38576","Wizard, The (1989)","Adventure|Children|Comedy|Drama"
"38577","Warlock: The Armageddon (1993)","Horror"
"38578","Weekend at Bernie's II (1993)","Adventure|Comedy"
"38580","Black Robe (1991)","Adventure|Drama"
"38582","Cotton Club, The (1984)","Crime|Musical"
"38585","Who'll Stop the Rain (1978)","Crime|Drama"
"38586","Zorro, the Gay Blade (1981)","Comedy"
"38587","Original Sin (2001)","Drama|Romance|Thriller"
"38591","Princess Diaries, The (2001)","Children|Comedy|Romance"
"38606","Rush Hour 2 (2001)","Action|Comedy"
"38623","Chocolat (1988)","Drama"
"38627","Hatari! (1962)","Adventure|Comedy"
"38628","Cage aux Folles, La (1978)","Comedy"
"38630","Paint Your Wagon (1969)","Comedy|Musical|Western"
"38631","Shootist, The (1976)","Drama|Western"
"38633","Theremin: An Electronic Odyssey (1993)","Documentary"
"38634","Wild Child, The (Enfant sauvage, L') (1970)","Drama"
"38635","Altered States (1980)","Drama|Sci-Fi"
"38636","American Pie 2 (2001)","Comedy"
"38657","Osmosis Jones (2001)","Action|Animation|Comedy|Crime|Drama|Romance|Thriller"
"38663","Others, The (2001)","Drama|Horror|Mystery|Thriller"
"38684","American Outlaws (2001)","Action|Comedy|Western"
"38686","Deep End, The (2001)","Drama"
"38687","On the Edge (2001)","Drama"
"38688","Session 9 (2001)","Horror|Thriller"
"38690","Captain Corelli's Mandolin (2001)","Drama|Romance|War"
"38692","Rat Race (2001)","Comedy"
"38700","Bubble Boy (2001)","Comedy"
"38702","Curse of the Jade Scorpion, The (2001)","Comedy"
"38704","Jay and Silent Bob Strike Back (2001)","Adventure|Comedy"
"38717","Ghosts of Mars (2001)","Horror|Sci-Fi|Thriller"
"38718","Summer Catch (2001)","Comedy|Romance"
"38720","Happy Accidents (2000)","Romance|Sci-Fi"
"38723","Together (Tillsammans) (2000)","Comedy|Drama|Romance"
"38727","Tortilla Soup (2001)","Comedy|Romance"
"38729","Jeepers Creepers (2001)","Horror"
"38734","O (2001)","Drama"
"38736","3 Ninjas (1992)","Action|Children|Comedy"
"38738","3 Ninjas Kick Back (1994)","Action|Children|Comedy"
"38740","3 Ninjas Knuckle Up (1995)","Action|Children"
"38742","Wicker Man, The (1973)","Drama|Horror|Mystery|Thriller"
"38745","Musketeer, The (2001)","Action|Adventure|Drama|Romance"
"38747","Rock Star (2001)","Comedy|Drama|Musical"
"38749","Soul Survivors (a.k.a. The Killer Cut) (2001)","Horror|Thriller"
"38750","Glass House, The (2001)","Thriller"
"38751","Hardball (2001)","Drama"
"38752","Dinner Rush (2000)","Drama"
"38753","Haiku Tunnel (2001)","Comedy"
"38754","Big Trouble (2002)","Comedy|Crime"
"38755","Training Day (2001)","Crime|Drama|Thriller"
"38776","American Astronaut, The (2001)","Comedy|Musical|Sci-Fi"
"38777","Endurance: Shackleton's Legendary Antarctic Expedition, The (2000)","Documentary"
"38779","French Lieutenant's Woman, The (1981)","Drama"
"38780","Legend of Hell House, The (1973)","Horror|Thriller"
"38781","Little Man Tate (1991)","Drama"
"38784","Return of a Man Called Horse, The (1976)","Western"
"38786","13 Ghosts (1960)","Horror"
"38788","Father Goose (1964)","Adventure|Comedy|Romance|War"
"38789","Indiscreet (1958)","Comedy|Romance"
"38790","It's a Mad, Mad, Mad, Mad World (1963)","Comedy"
"38792","Little Foxes, The (1941)","Drama"
"38793","Operation Petticoat (1959)","Action|Comedy|Romance|War"
"38795","Play Misty for Me (1971)","Drama|Thriller"
"38798","Sayonara (1957)","Drama"
"38799","Vanishing, The (1993)","Mystery|Thriller"
"38802","Silkwood (1983)","Drama"
